callsign,latitude,longitude
3B8GL,-20.271,57.458
3D2AG,-18.104,178.458
3V/KF5EYY,34.688,10.708
4X6FB,32.771,35.042
5Z4GO,-3.979,39.708
7L4IOU,35.729,139.875
7N4XCV,35.938,139.292
8Q7RS,5.146,73.125
AA0O,27.771,-82.708
AC0C-1,38.646,-94.625
BA4OP,36.979,119.125
BA6KC,35.312,113.958
BD4UNT,32.062,118.792
BD7JNA,23.146,113.375
BD8CS,30.646,106.125
BG0AJO,43.854,87.542
BG0AJO/0,43.854,87.542
BG2TFW,41.938,123.542
BG2UKX,31.104,121.125
BG2UKX0,41.104,121.125
BG2WRJ,39.521,122.125
BG4GOV,30.938,121.792
BH4HKZ,31.146,121.542
BH4RRG,32.104,118.708
BH4XDZ,34.604,119.125
BI4MPH,37.521,121.375
CT1EYQ,38.062,-8.792
CX6VM,-32.146,-54.042
DC8YZ,49.229,11.042
DD0VS,49.521,11.292
DE1LON,51.271,6.625
DE2SAX,48.438,9.958
DF0TVI-9,53.396,7.042
DF0TVI-99,53.396,7.042
DF1VB,51.438,7.542
DF2CK,51.146,14.042
DF2CK-1,51.146,14.042
DF2JP,51.812,6.375
DF7GB,49.979,8.208
DF7GB-3,49.979,8.208
DG6FL,50.021,8.292
DJ0OP,53.896,10.708
DK0TE,47.646,9.458
DK2GOX,49.771,9.875
DK3UA,54.229,12.958
DK3WW,52.271,13.042
DK8NE,50.479,10.042
DK8NE/0,50.479,10.042
DK9DA,53.396,7.042
DK9DA-,53.396,7.042
DK9IP,48.979,8.458
DK9IP-1,48.979,8.458
DK9IP-3,48.979,8.458
DL0LA,48.521,12.208
DL1AMQ,50.854,11.708
DL1EFW,51.146,6.458
DL1HWS,51.688,12.042
DL1HWS-3,51.688,12.042
DL1HWS-4,51.688,12.042
DL5RCN,48.771,13.458
DL5RDO,49.438,10.875
DL5RMH,48.562,12.125
DL6NDW,48.104,11.542
DL8LAS,54.229,10.375
DL8TG,52.396,10.708
DL9GTB,53.979,12.958
DM5GG,51.188,13.708
DM6CS,48.229,11.375
DM6EE,52.396,10.875
DM7EE,52.396,10.792
DM7XX,51.188,13.792
DO4DXA,48.104,11.375
DP5G,50.438,6.458
